Namespace(activation='maxmin', batch_size=128, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, gamma=0.0, init_channels=32, lln=False, loss_scale='1.0', lr_max=0.1, lr_min=0.0, momentum=0.9, n=10000, opt_level='O2', out_dir='LipConvnet_cifar10_n=10000_4_soc_32_maxmin_cr0.0', seed=0, weight_decay=0.0005)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Test Loss 	 
0 	 35.3 	 0.1000 	 -0.4600 	 -0.7358
1 	 34.3 	 0.1000 	 -0.6761 	 -0.7481
2 	 34.4 	 0.1000 	 -0.7241 	 -0.7821
3 	 33.3 	 0.1000 	 -0.6056 	 -0.6388
4 	 32.5 	 0.1000 	 -0.6400 	 -0.7815
5 	 33.2 	 0.1000 	 -0.6912 	 -0.6631
6 	 33.2 	 0.1000 	 -0.6063 	 -0.7745
7 	 33.2 	 0.1000 	 -0.7268 	 -0.7180
8 	 33.2 	 0.1000 	 -0.8030 	 -0.7660
9 	 32.5 	 0.1000 	 -0.6450 	 -0.7801
10 	 33.2 	 0.1000 	 -0.7890 	 -0.6441
11 	 33.2 	 0.1000 	 -0.6049 	 -0.7634
12 	 34.5 	 0.1000 	 -0.7746 	 -0.8796
13 	 33.2 	 0.1000 	 -0.6400 	 -0.6736
14 	 32.3 	 0.1000 	 -0.5965 	 -0.6453
15 	 33.2 	 0.1000 	 -0.6148 	 -0.7330
16 	 33.1 	 0.1000 	 -0.7757 	 -0.6940
17 	 33.2 	 0.1000 	 -0.5486 	 -0.7616
18 	 33.2 	 0.1000 	 -0.6978 	 -0.6475
19 	 32.4 	 0.1000 	 -0.6968 	 -0.8458
20 	 33.1 	 0.1000 	 -0.7886 	 -0.6500
21 	 33.2 	 0.1000 	 -0.6926 	 -0.7027
22 	 33.3 	 0.1000 	 -0.6031 	 -0.4415
23 	 32.4 	 0.1000 	 -0.6791 	 -0.7542
24 	 33.2 	 0.1000 	 -0.6717 	 -0.7195
25 	 33.2 	 0.1000 	 -0.7428 	 -0.7587
26 	 33.2 	 0.1000 	 -0.8106 	 -0.7069
27 	 33.2 	 0.1000 	 -0.6750 	 -0.7180
28 	 32.4 	 0.1000 	 -0.7788 	 -0.7728
29 	 33.2 	 0.1000 	 -0.8006 	 -0.7545
30 	 33.2 	 0.1000 	 -0.7485 	 -0.6130
31 	 33.3 	 0.1000 	 -0.7018 	 -0.6461
32 	 33.1 	 0.1000 	 -0.7173 	 -0.7154
33 	 32.4 	 0.1000 	 -0.7210 	 -0.7259
34 	 33.1 	 0.1000 	 -0.8117 	 -0.7725
