Namespace(activation='maxmin', batch_size=500, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, init_channels=32, l='l2', lln=False, loss_scale='1.0', lr_max=0.01, lr_min=0.0, momentum=0.9, n=10000, opt_level='O2', out_dir='ISO_cifar10_l2_4_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Valid Loss
0 	 20.6 	 0.0100 	 -0.0005 	 -0.0001
1 	 18.0 	 0.0100 	 -0.0014 	 -0.0003
2 	 17.2 	 0.0100 	 -0.0030 	 -0.0006
3 	 17.4 	 0.0100 	 -0.0062 	 -0.0015
4 	 17.3 	 0.0100 	 -0.0104 	 -0.0032
5 	 17.9 	 0.0100 	 -0.0322 	 -0.0092
6 	 17.0 	 0.0100 	 -0.1047 	 -0.0447
7 	 17.1 	 0.0100 	 -0.5830 	 -0.2732
8 	 16.9 	 0.0100 	 -2.7870 	 -0.3895
9 	 17.0 	 0.0100 	 -2.4607 	 -0.4145
10 	 17.8 	 0.0100 	 -2.4305 	 -0.5908
11 	 16.4 	 0.0100 	 -2.6144 	 -0.4058
12 	 16.4 	 0.0100 	 -2.9640 	 -0.4983
13 	 16.5 	 0.0100 	 -1.6228 	 -0.4335
14 	 16.5 	 0.0100 	 -1.5953 	 -0.4322
15 	 17.3 	 0.0100 	 -2.2267 	 -0.5710
16 	 16.4 	 0.0100 	 -3.6354 	 -0.4775
17 	 16.4 	 0.0100 	 -2.4133 	 -0.5197
18 	 16.4 	 0.0100 	 -2.0105 	 -0.4935
19 	 16.4 	 0.0100 	 -2.1348 	 -0.5540
20 	 17.2 	 0.0100 	 -4.3715 	 -0.4510
21 	 16.4 	 0.0100 	 -3.5334 	 -0.4426
22 	 16.4 	 0.0100 	 -1.7252 	 -0.5203
23 	 16.4 	 0.0100 	 -3.4078 	 -0.5301
24 	 16.5 	 0.0100 	 -2.9923 	 -0.5107
25 	 17.3 	 0.0100 	 -2.4760 	 -0.4524
26 	 16.4 	 0.0100 	 -4.6210 	 -0.4266
27 	 16.5 	 0.0100 	 -2.8579 	 -0.4772
28 	 16.5 	 0.0100 	 -3.5175 	 -0.5512
29 	 16.4 	 0.0100 	 -1.2483 	 -0.4849
30 	 17.3 	 0.0100 	 -2.3920 	 -0.5327
31 	 16.4 	 0.0100 	 -2.3204 	 -0.5648
32 	 16.4 	 0.0100 	 -3.8217 	 -0.4947
33 	 16.5 	 0.0100 	 -2.6522 	 -0.5769
34 	 16.4 	 0.0100 	 -1.6040 	 -0.5601
35 	 17.2 	 0.0100 	 -4.5304 	 -0.5333
36 	 16.4 	 0.0100 	 -2.9358 	 -0.5881
37 	 16.4 	 0.0100 	 -3.1678 	 -0.5680
38 	 16.4 	 0.0100 	 -2.2839 	 -0.5205
39 	 16.4 	 0.0100 	 -3.3138 	 -0.5288
40 	 17.2 	 0.0100 	 -1.3471 	 -0.4487
41 	 16.4 	 0.0100 	 -4.1071 	 -0.4395
42 	 16.4 	 0.0100 	 -3.3026 	 -0.5766
43 	 16.4 	 0.0100 	 -3.3058 	 -0.4850
44 	 16.4 	 0.0100 	 -3.9621 	 -0.5495
45 	 17.2 	 0.0100 	 -2.3591 	 -0.5768
46 	 16.4 	 0.0100 	 -3.7656 	 -0.5869
47 	 16.4 	 0.0100 	 -2.0639 	 -0.5817
48 	 16.4 	 0.0100 	 -2.4013 	 -0.5339
49 	 16.4 	 0.0100 	 -1.5575 	 -0.5731
50 	 17.3 	 0.0100 	 -2.7208 	 -0.5525
51 	 16.3 	 0.0100 	 -3.1230 	 -0.5257
52 	 16.4 	 0.0100 	 -2.2636 	 -0.5164
53 	 16.4 	 0.0100 	 -2.7537 	 -0.5410
54 	 16.4 	 0.0100 	 -3.4539 	 -0.5303
55 	 17.2 	 0.0100 	 -3.5767 	 -0.4416
56 	 16.4 	 0.0100 	 -1.8830 	 -0.4350
57 	 16.4 	 0.0100 	 -4.0191 	 -0.4292
58 	 16.3 	 0.0100 	 -2.3032 	 -0.5527
59 	 16.5 	 0.0100 	 -2.4398 	 -0.5586
60 	 17.2 	 0.0100 	 -3.0689 	 -0.5600
61 	 16.4 	 0.0100 	 -2.9808 	 -0.5091
62 	 16.4 	 0.0100 	 -2.4841 	 -0.5742
63 	 16.4 	 0.0100 	 -3.7242 	 -0.5856
64 	 16.3 	 0.0100 	 -3.9160 	 -0.4583
65 	 18.3 	 0.0100 	 -1.9845 	 -0.5929
66 	 16.4 	 0.0100 	 -1.7322 	 -0.5846
67 	 16.4 	 0.0100 	 -4.2599 	 -0.5000
68 	 16.4 	 0.0100 	 -3.4847 	 -0.5326
69 	 16.4 	 0.0100 	 -1.0932 	 -0.4701
70 	 17.3 	 0.0100 	 -4.1181 	 -0.5501
71 	 16.4 	 0.0100 	 -1.8831 	 -0.4232
72 	 16.4 	 0.0100 	 -2.7551 	 -0.4731
73 	 16.4 	 0.0100 	 -3.4224 	 -0.5149
74 	 16.4 	 0.0100 	 -3.2355 	 -0.4053
75 	 17.2 	 0.0100 	 -4.2103 	 -0.3181
76 	 16.4 	 0.0100 	 -1.7981 	 -0.3956
77 	 16.4 	 0.0100 	 -3.7595 	 -0.4060
78 	 16.5 	 0.0100 	 -2.6898 	 -0.5535
79 	 16.4 	 0.0100 	 -3.0266 	 -0.5467
80 	 17.3 	 0.0100 	 -2.2329 	 -0.5621
81 	 17.6 	 0.0100 	 -1.6929 	 -0.6061
82 	 16.5 	 0.0100 	 -3.3795 	 -0.5391
83 	 16.5 	 0.0100 	 -1.9710 	 -0.5855
84 	 16.5 	 0.0100 	 -3.2375 	 -0.5140
85 	 18.5 	 0.0100 	 -4.8254 	 -0.6081
86 	 16.4 	 0.0100 	 -3.0792 	 -0.5237
87 	 16.5 	 0.0100 	 -4.4978 	 -0.6078
88 	 16.4 	 0.0100 	 -2.9279 	 -0.4385
89 	 16.5 	 0.0100 	 -3.1270 	 -0.5354
90 	 17.2 	 0.0100 	 -1.8695 	 -0.4178
91 	 16.5 	 0.0100 	 -1.5037 	 -0.5149
92 	 16.4 	 0.0100 	 -2.9225 	 -0.5321
93 	 16.5 	 0.0100 	 -5.0813 	 -0.5487
94 	 16.4 	 0.0100 	 -2.8892 	 -0.5615
95 	 17.2 	 0.0100 	 -3.5057 	 -0.5081
96 	 16.4 	 0.0100 	 -4.7384 	 -0.5003
97 	 16.5 	 0.0100 	 -2.4796 	 -0.5699
98 	 17.6 	 0.0100 	 -2.7972 	 -0.6234
99 	 16.4 	 0.0010 	 -4.2907 	 -0.5757
100 	 17.3 	 0.0010 	 -2.7730 	 -0.5892
101 	 16.4 	 0.0010 	 -3.1993 	 -0.5922
102 	 16.4 	 0.0010 	 -3.5985 	 -0.5720
103 	 16.5 	 0.0010 	 -2.6656 	 -0.5771
104 	 16.4 	 0.0010 	 -2.5079 	 -0.5749
105 	 17.2 	 0.0010 	 -3.4715 	 -0.5965
106 	 16.5 	 0.0010 	 -3.3853 	 -0.6198
